accuracy,brier_score,log_loss,roc_auc,calibration_error,model_name,feature_count,model_kind,avg_predicted_probability,min_predicted_probability,max_predicted_probability,"bucket_(0.2, 0.3]","bucket_(0.3, 0.4]","bucket_(0.4, 0.5]","bucket_(0.5, 0.6]","bucket_(0.6, 0.7]","bucket_(0.7, 0.8]","bucket_(0.8, 0.9]","bucket_(0.1, 0.2]","bucket_(0.9, 1.0]",home_team_baseline_log_loss,elo_baseline_log_loss,team_only_model_log_loss,sportsbook_benchmark_log_loss,beats_home_team_baseline,beats_elo_baseline,beats_team_only_model,beats_sportsbook_benchmark,row_type,probability_bucket,games,realized_home_win_rate
,,,,,player_features_only,,,0.44959383052330576,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.4, 0.5]",208.0,0.47596153846153844
,,,,,player_features_only,,,0.5522342412881064,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.5, 0.6]",244.0,0.5450819672131147
,,,,,player_features_only,,,0.652652785955002,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.6, 0.7]",274.0,0.5985401459854015
,,,,,player_features_only,,,0.7450065132060506,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.7, 0.8]",197.0,0.6802030456852792
,,,,,player_features_only,,,0.8395614086945552,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.8, 0.9]",90.0,0.7
,,,,,player_features_only,,,0.9167713949455765,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.9, 1.0]",10.0,0.5
,,,,,team_only_fair_l2,,,0.17509836879793064,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.1, 0.2]",13.0,0.15384615384615385
,,,,,team_only_fair_l2,,,0.25740549200955093,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",112.0,0.38392857142857145
,,,,,team_only_fair_l2,,,0.35037501214798294,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",191.0,0.4083769633507853
,,,,,team_only_fair_l2,,,0.4507647700703579,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.4, 0.5]",255.0,0.48627450980392156
,,,,,team_only_fair_l2,,,0.5480056406269375,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.5, 0.6]",258.0,0.6007751937984496
,,,,,team_only_fair_l2,,,0.646980281241098,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.6, 0.7]",220.0,0.6363636363636364
,,,,,team_only_fair_l2,,,0.7425520213153434,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.7, 0.8]",140.0,0.6928571428571428
,,,,,team_only_fair_l2,,,0.8410998400664841,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.8, 0.9]",39.0,0.7692307692307693
,,,,,team_only_fair_l2,,,0.9014525893996856,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.9, 1.0]",2.0,0.0
,,,,,team_features_plus_player_features_l2,,,0.17583820917513676,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.1, 0.2]",28.0,0.32142857142857145
,,,,,team_features_plus_player_features_l2,,,0.2616578378154337,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",122.0,0.29508196721311475
